,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1820,24,San Luis Potosí,4,Armadillo de los Infante,8949,5184349,0.001726156938894353
1821,31,Yucatán,17,Chankom,8949,3916927,0.002284699204248637
1822,31,Yucatán,73,Tahdziú,8930,3916927,0.0022798484628383424
1823,20,Oaxaca,98,San Andrés Teotilálpam,8913,7615962,0.0011703052089808222
1824,20,Oaxaca,421,Santa María Mixtequilla,8896,7615962,0.0011680730549863563
1825,29,Tlaxcala,60,Santa Isabel Xiloxoxtla,8872,2342829,0.003786874756971166
1826,30,Veracruz de Ignacio de la Llave,106,Miahuatlán,8866,15332413,0.0005782520990009857
1827,20,Oaxaca,37,Mesones Hidalgo,8826,7615962,0.001158881832656203
1828,20,Oaxaca,398,Ayoquezco de Aldama,8820,7615962,0.0011580940135993325
1829,20,Oaxaca,102,San Andrés Zautla,8810,7615962,0.001156780981837882
1830,14,Jalisco,38,Guachinango,8806,14729215,0.0005978594242802485
1831,20,Oaxaca,111,San Antonio Tepetlapa,8788,7615962,0.001153892311962691
1832,32,Zacatecas,4,Benito Juárez,8772,2991119,0.002932681715438269
1833,20,Oaxaca,51,Magdalena Teitipac,8736,7615962,0.0011470645468031485
1834,29,Tlaxcala,57,Santa Apolonia Teacalco,8720,2342829,0.003721995928853536
1835,20,Oaxaca,108,San Antonio Huitepec,8709,7615962,0.0011435193610472322
1836,20,Oaxaca,462,Santiago Huajolotitlán,8707,7615962,0.001143256754694942
1837,32,Zacatecas,18,Huanusco,8693,2991119,0.002906270195201194
1838,7,Chiapas,58,Nicolás Ruíz,8635,9645256,0.0008952587676262818
1839,10,Durango,10,Hidalgo,8622,3281041,0.002627824522765793
1840,29,Tlaxcala,11,Muñoz de Domingo Arenas,8613,2342829,0.003676324648533888
1841,20,Oaxaca,330,San Pedro Teutila,8564,7615962,0.0011244804005062
1842,10,Durango,2,Canelas,8549,3281041,0.0026055754865605156
1843,20,Oaxaca,29,Eloxochitlán de Flores Magón,8533,7615962,0.0011204100020457035
1844,21,Puebla,206,Zacapala,8500,11567088,0.0007348435492148067
1845,21,Puebla,162,Tepango de Rodríguez,8488,11567088,0.0007338061230276799
1846,14,Jalisco,106,Tuxcacuesco,8485,14729215,0.0005760660021596535
1847,20,Oaxaca,452,Santiago Apóstol,8440,7615962,0.0011081988066642139
1848,20,Oaxaca,484,Santiago Tamazola,8431,7615962,0.0011070170780789084
1849,14,Jalisco,117,Cañadas de Obregón,8427,14729215,0.0005721282498761815
1850,21,Puebla,27,Caltepec,8386,11567088,0.0007249880004371023
1851,29,Tlaxcala,46,Emiliano Zapata,8373,2342829,0.0035738843936113135
1852,20,Oaxaca,491,Santiago Textitlán,8346,7615962,0.0010958563081065794
1853,20,Oaxaca,291,San Pablo Coatlán,8337,7615962,0.001094674579521274
1854,31,Yucatán,22,Chikindzonot,8332,3916927,0.002127177759503815
1855,14,Jalisco,12,Atenguillo,8328,14729215,0.0005654069140819792
1856,19,Nuevo León,51,Villaldama,8312,9320338,0.0008918131509822927
