,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
1848,20,Oaxaca,491,Santiago Textitlán,7903,7026438,0.0011247519724788008
1849,20,Oaxaca,484,Santiago Tamazola,7900,7026438,0.001124325013612872
1850,20,Oaxaca,384,Santa Cruz Xitla,7876,7026438,0.0011209093426854404
1851,28,Tamaulipas,14,Guerrero,7871,6069690,0.001296771334285606
1852,7,Chiapas,58,Nicolás Ruíz,7870,8641538,0.0009107175134796607
1853,7,Chiapas,90,Tapalapa,7865,8641538,0.0009101389127722403
1854,31,Yucatán,73,Tahdziú,7840,3643791,0.0021516052924001406
1855,32,Zacatecas,4,Benito Juárez,7833,2745469,0.002853064449097768
1856,21,Puebla,200,Xochiapulco,7764,10774602,0.0007205834609946613
1857,20,Oaxaca,291,San Pablo Coatlán,7754,7026438,0.0011035463488043302
1858,20,Oaxaca,111,San Antonio Tepetlapa,7746,7026438,0.0011024077918285198
1859,29,Tlaxcala,57,Santa Apolonia Teacalco,7738,2139699,0.003616396511845825
1860,20,Oaxaca,305,San Pedro Comitancillo,7717,7026438,0.0010982805227912067
1861,31,Yucatán,8,Calotmul,7708,3643791,0.0021153792849260564
1862,31,Yucatán,20,Chicxulub Pueblo,7706,3643791,0.002114830406024934
1863,15,México,116,Zacazonapan,7687,28021837,0.000274321772694631
1864,21,Puebla,127,San Jerónimo Xayacatlán,7686,10774602,0.0007133442144777135
1865,8,Chihuahua,24,Santa Isabel,7666,6519870,0.0011757903148375659
1866,20,Oaxaca,452,Santiago Apóstol,7650,7026438,0.0010887451081187936
1867,29,Tlaxcala,46,Emiliano Zapata,7645,2139699,0.0035729324545181354
1868,8,Chihuahua,23,Galeana,7634,6519870,0.0011708822415170855
1869,21,Puebla,29,Caxhuacan,7628,10774602,0.0007079611850163932
1870,20,Oaxaca,20,Constancia del Rosario,7628,7026438,0.0010856140764353148
1871,20,Oaxaca,102,San Andrés Zautla,7624,7026438,0.0010850447979474094
1872,10,Durango,25,San Bernardo,7592,3036271,0.002500435567180927
1873,20,Oaxaca,24,Cuyamecalco Villa de Zaragoza,7587,7026438,0.0010797789719342859
1874,20,Oaxaca,532,Santo Tomás Ocotepec,7578,7026438,0.0010784980953364991
1875,31,Yucatán,78,Tekantó,7561,3643791,0.0020750366856935537
1876,14,Jalisco,106,Tuxcacuesco,7551,13532532,0.0005579887045528509
1877,15,México,69,Papalotla,7532,28021837,0.0002687903723085678
1878,31,Yucatán,70,Sucilá,7497,3643791,0.002057472560857634
1879,20,Oaxaca,517,Santo Domingo Tepuxtepec,7448,7026438,0.0010599965444795785
1880,20,Oaxaca,63,Nazareno Etla,7440,7026438,0.0010588579875037678
1881,20,Oaxaca,116,San Bartolomé Ayautla,7426,7026438,0.0010568655127960996
1882,20,Oaxaca,169,San José Independencia,7378,7026438,0.0010500341709412365
1883,14,Jalisco,81,Santa María de los Ángeles,7376,13532532,0.0005450569043546322
1884,20,Oaxaca,133,San Esteban Atatlahuca,7358,7026438,0.0010471877785017104
1885,20,Oaxaca,339,San Pedro y San Pablo Teposcolula,7353,7026438,0.0010464761803918286
1886,20,Oaxaca,497,Santiago Yaitepec,7330,7026438,0.0010432028290863736
1887,20,Oaxaca,453,Santiago Astata,7284,7026438,0.001036656126475463
1888,20,Oaxaca,410,Santa María Ecatepec,7278,7026438,0.0010358022087436052
1889,21,Puebla,18,Atexcal,7265,10774602,0.000674270845456751
